,x,y
1,144.1344025,8.989454887
2,140.0627928,9.06521931
3,49.73717796,8.832987171
4,153.3354315,8.900711248
5,71.18369938,9.159188128
6,127.8320879,9.250657387
7,169.8266098,9.492914915
8,116.6900008,9.466141102
9,172.7708525,9.732669403
10,130.3889275,9.252153285
11,135.4073111,9.206803856
12,90.02472057,9.657813865
13,151.649483,8.94807676
14,147.104703,9.1405604
15,147.5431457,8.743183444
16,71.17486663,9.667465659
17,62.97471907,9.45177308
18,53.38196236,9.08827792
19,156.1926204,9.287393373
20,34.2118899,7.943149031
21,158.4184244,8.969363868
22,97.37279361,9.507631295
23,170.6993952,9.086079942
24,149.903041,9.124407363
25,102.4321852,9.692922689
26,126.3498707,9.507360406
27,57.51601938,9.033398183
28,101.2654127,9.593598442
29,67.10062822,9.559508144
30,105.2006319,9.129352371
31,100.1180959,9.734870316
32,134.3626585,8.871076271
33,119.9780587,9.288485982
34,41.42722717,8.297364755
35,132.0907986,9.013977785
36,61.27823992,9.116522271
37,140.2081754,9.171470543
38,159.4314175,9.211708502
39,93.21481305,9.51583716
40,29.24564416,7.710380225
41,48.64327138,8.955997333
42,161.4073791,8.801208929
43,119.7373908,9.536127027
44,89.73992417,9.608317656
45,106.7665294,9.183096903
46,173.2375042,9.333825032
47,106.84492,9.482910769
48,169.3417287,9.335499481
49,48.49502724,8.792857134
50,86.77319182,9.584070687
51,126.6422598,9.351411413
52,99.01895678,9.750358389
53,95.69685101,9.359727208
54,100.2048352,9.605761692
55,89.66870081,9.280934137
56,152.3438777,9.304521464
57,161.4502906,9.074927847
58,121.9886803,9.4050793
59,106.8947814,9.521304816
60,82.9631782,9.521757398
61,61.17125334,9.207199739
62,92.55968747,9.631023097
63,95.23721908,9.352797369
64,107.3571788,9.511650193
65,164.5272615,9.093993911
66,69.26805751,9.560881446
67,131.2198933,9.001560279
68,148.7429041,9.184161522
69,79.75326315,9.420161615
70,74.16222947,9.749343158
71,157.8349429,9.062878397
72,76.05546789,9.377433593
73,58.67330038,9.191774869
74,99.79486007,9.404405735
75,69.97320711,9.358760407
76,37.61305808,8.268616847
77,53.55506547,8.800031019
78,60.3934635,9.170745558
79,80.79923785,9.466256505
80,77.54343973,9.510961218
81,66.78315876,9.218339471
82,27.83304377,7.295358427
83,156.8135202,9.263456496
84,87.92882556,9.801981168
85,161.1486258,8.937536562
86,42.78892087,8.263310881
87,136.3603563,9.099535503
88,23.54552975,7.090874758
89,139.906481,9.065510208
90,161.1019352,9.112733972
91,24.27036424,6.875723131
92,102.433829,9.7413079
93,120.2098393,9.550044402
94,52.91467634,9.166096535
95,30.56927088,7.615170156
96,93.68773469,9.930835627
97,156.7828876,9.214395501
98,24.19707401,6.850936038
99,71.07350468,9.279052834
100,153.4817129,8.964190536
101,69.69386831,9.305827741
102,173.9566373,9.361791237
103,138.7619486,9.182848352
104,89.06008595,9.318435876
105,157.2773292,9.020372271
106,97.25277839,9.42817967
107,151.6635628,9.139855936
108,64.20930334,9.255911627
109,124.9349235,9.398701076
110,116.2269259,9.211448661
111,37.00938189,8.020784017
112,155.4862632,9.274457021
113,77.39262467,9.565925174
114,135.7705475,9.221886792
115,70.21486739,9.670407022
116,135.3134608,9.265189525
117,50.30824068,8.920620357
118,74.74415907,9.41849349
119,30.59754941,7.647172872
120,170.7080757,9.194832295
121,54.87996946,9.018366711
122,78.43403069,9.570855353
123,38.20433843,8.307904042
124,136.0991934,9.249026622
125,88.41365435,9.685464302
126,58.00400746,8.977258662
127,133.8709116,9.15731366
128,58.92131996,8.992145003
129,107.8809111,9.18559635
130,151.1482473,8.944119061
131,112.3970561,9.542352204
132,118.7327146,9.302083645
133,54.19649666,8.908268404
134,133.5272396,9.305884322
135,124.3068341,9.302020314
136,142.65112,9.204073157
137,101.6570637,9.59428299
138,171.1269721,9.34042399
139,131.1170912,9.259320504
140,64.94770308,9.298184274
141,112.3491986,9.422658902
142,64.14240456,9.322801858
143,81.39566395,9.603529554
144,69.91346413,9.467739555
145,74.59867722,9.618631242
146,112.7040341,9.592671007
147,131.3043781,8.939007254
148,170.3200302,9.368129083
149,125.2159379,8.918915374
150,151.1079287,9.328082596
151,51.97449382,8.774587635
152,61.23530022,9.127823687
153,154.1199362,9.096248605
154,126.1898344,9.200708167
155,46.87116692,8.6681288
156,106.4802913,9.441372203
157,126.0016693,9.309957384
158,27.24799184,7.113852808
159,91.48092763,9.686185215
160,112.999019,9.413955631
161,154.5423775,9.30496902
162,99.36125663,9.4370104
163,130.3655624,9.088149124
164,161.7175359,8.937125131
165,27.55156972,7.381949961
166,38.05289075,7.857401785
167,158.6694685,9.166287389
168,136.4206268,9.327944904
169,132.745159,9.010017046
170,84.20612562,9.438814877
171,111.5890286,9.313220249
172,122.4463273,9.261272794
173,85.56585961,9.449506048
174,26.54405552,7.448755126
175,25.77727478,7.189037072
176,35.89511375,7.891128857
177,60.76123009,9.243160688
178,38.97091625,8.051294911
179,78.83922043,9.555999705
180,168.2909221,9.575962376
181,168.2747568,9.218420524
182,134.8804956,8.877873843
183,119.8832639,9.332328002
184,116.3993287,9.207753538
185,40.00428325,8.097726882
186,171.221387,9.475775807
187,158.1359533,9.087498226
188,125.3640115,9.216668082
189,67.52282265,9.142270449
190,93.84697417,9.477135002
191,157.9056784,9.002993071
192,58.24418757,9.33703872
193,117.3797747,9.576270394
194,107.2590467,9.410859479
195,66.8748797,9.353971946
196,130.9949623,9.126748178
197,37.64739423,8.024225024
198,41.99488078,8.360342417
199,136.2794494,8.958231602
200,148.0910672,9.102348095
201,63.70728682,9.182689156
202,127.1302981,9.183794761
203,146.7875527,8.937354963
204,165.7743343,9.073780017
